Time: 1672011839, Process: motor_x, Log message: motor_x
Time: 1672011839, Process: motor_z, Log message: motor_z
Time: 1672011839, Process: command, Log message: no update
Time: 1672011839, Process: motor_x, Log message: motor_x
Time: 1672011839, Process: motor_z, Log message: motor_z
Time: 1672011839, Process: command, Log message: no update
Time: 1672011839, Process: motor_z, Log message: motor_z
Time: 1672011839, Process: command, Log message: no update
Time: 1672011839, Process: motor_z, Log message: motor_z
Time: 1672011839, Process: command, Log message: no update
Time: 1672011839, Process: motor_x, Log message: motor_x
Time: 1672011839, Process: motor_z, Log message: motor_z
Time: 1672011839, Process: command, Log message: no update
Time: 1672011839, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x1672011840
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update1672011840
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_x, Log message: motor_x
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011840, Process: command, Log message: no update
Time: 1672011840, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update1672011841
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update1672011841
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x1672011841
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x1672011841
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011841, Process: command, Log message: no update
Time: 1672011841, Process: motor_x, Log message: motor_x
Time: 1672011841, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x1672011842
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
Time: 1672011842, Process: motor_z, Log message: motor_z
Time: 1672011842, Process: command, Log message: no update
Time: 1672011842, Process: motor_x, Log message: motor_x
